date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
5/1/08,-0.122205097,-0.132928385,-0.143065524,-0.142145517,-0.047101511
6/1/08,-0.121428801,-0.130847416,-0.139609988,-0.139152713,-0.024647729
7/1/08,-0.08348442,-0.095009735,-0.106018266,-0.102285614,0.010463735
8/1/08,-0.020586178,-0.038119535,-0.055297575,-0.036449746,0.015908286
9/1/08,-0.044757609,-0.057849132,-0.070557791,-0.059389139,-0.012434608
10/1/08,-0.013097602,-0.023344189,-0.033314151,-0.029043475,0.007530455
11/1/08,0.03559048,0.027556029,0.019632407,0.024287742,0.049640644
12/1/08,-0.019236101,-0.033348019,-0.047125373,-0.038883724,0.028708363
1/1/09,0.00062236,-0.018400373,-0.037143217,-0.024335534,0.005128317
2/1/09,0.06121962,0.041027153,0.020884675,0.038756278,0.038420514
3/1/09,-0.028707519,-0.05081777,-0.072483349,-0.058577704,-0.015003917
4/1/09,-0.135084887,-0.137952824,-0.140306701,-0.148032061,-0.068456436
5/1/09,-0.096739885,-0.099044867,-0.100964887,-0.104346008,-0.024116179
6/1/09,-0.088930482,-0.101748983,-0.114335401,-0.108617458,-0.016460891
7/1/09,-0.088448553,-0.101341013,-0.113862203,-0.108057652,-0.026751921
8/1/09,-0.042185,-0.058750481,-0.074864383,-0.062503191,-0.013067032
9/1/09,-0.031590344,-0.043307526,-0.054743942,-0.04926714,-0.001504802
10/1/09,0.021272965,0.003117148,-0.014842931,-2.28E-06,0.05329025
11/1/09,0.00629974,0.009086984,0.01192049,0.008057093,0.003020359
12/1/09,0.053596677,0.041445248,0.02928252,0.040346851,0.076614505
1/1/10,0.114903394,0.121999786,0.129077428,0.12640236,0.066086061
2/1/10,0.048906859,0.051287627,0.053714981,0.050994945,0.020764385
3/1/10,-0.089730964,-0.075821423,-0.061676582,-0.077994556,-0.081962447
4/1/10,-0.069894897,-0.070305464,-0.070313327,-0.072907974,-0.041811197
5/1/10,-0.153274649,-0.148386631,-0.143093206,-0.158503884,-0.08869703
6/1/10,-0.140593102,-0.145376934,-0.149569889,-0.155087149,-0.057439007
7/1/10,-0.128835793,-0.140692171,-0.151921387,-0.148398142,-0.041875361
8/1/10,-0.069884355,-0.091075374,-0.111833337,-0.09332944,-0.009324992
9/1/10,-0.041051082,-0.045194016,-0.049136105,-0.0459934,-0.003006973
10/1/10,-0.021133637,-0.013782423,-0.006269036,-0.010260265,-0.01279445
11/1/10,-0.020427419,-0.032454006,-0.044076064,-0.035496294,-0.003893963
12/1/10,0.091593289,0.09523397,0.098842123,0.100212933,0.041953728
1/1/11,-0.048831751,-0.04634388,-0.043556363,-0.053386676,-0.027214225
2/1/11,-0.063152849,-0.066554217,-0.069692859,-0.071941799,-0.032051536
3/1/11,-0.013744354,0.008266809,0.030329683,0.013456689,-0.038990181
4/1/11,-0.130348351,-0.134658416,-0.1383095,-0.144262511,-0.063820282
5/1/11,-0.127019153,-0.133009765,-0.138336014,-0.142661173,-0.04573883
6/1/11,-0.094753391,-0.110429547,-0.125446804,-0.11648784,-0.023429349
7/1/11,-0.103246343,-0.119328216,-0.134754777,-0.12814093,-0.015024155
8/1/11,-0.088595323,-0.096926118,-0.104787703,-0.093318458,-0.026835233
9/1/11,-0.02624013,-0.027108488,-0.027449761,-0.023186564,-0.012980315
10/1/11,-0.022933327,-0.030260041,-0.037451837,-0.029400857,-0.004483324
11/1/11,-0.011165819,-0.006956491,-0.002598229,-0.007369625,-0.002078372
12/1/11,-0.04093904,-0.049783656,-0.058316043,-0.054476002,0.003355289
1/1/12,-0.001243066,-0.000466586,0.000350589,-0.000515329,0.008431331
2/1/12,-0.066798189,-0.06490908,-0.062822863,-0.070003578,-0.04777668
3/1/12,-0.007051161,0.011093322,0.029211015,0.015114356,-0.024263066
4/1/12,-0.058303583,-0.054985631,-0.051467066,-0.059684157,-0.033616373
5/1/12,-0.16085239,-0.158285938,-0.15516021,-0.16657245,-0.070999607
6/1/12,-0.089037217,-0.09856609,-0.107498925,-0.106530422,-0.007625475
7/1/12,-0.102354354,-0.115746858,-0.128545706,-0.12190092,-0.026967417
8/1/12,-0.050321846,-0.062080568,-0.073177245,-0.065710978,0.008773113
9/1/12,-0.025728502,-0.03450577,-0.042707917,-0.03428496,0.011009216
10/1/12,0.03233198,0.024107883,0.016183053,0.024158285,0.045292182
11/1/12,0.07863474,0.086218793,0.093936769,0.092963903,0.031890901
12/1/12,0.062383926,0.044607719,0.027049442,0.046874756,0.035169638
1/1/13,-0.051687358,-0.055833633,-0.059738248,-0.060550887,-0.036433169
2/1/13,-0.074842837,-0.086434728,-0.097709511,-0.095201656,-0.031266691
3/1/13,-0.079496066,-0.07460206,-0.069468659,-0.076682254,-0.037316167
4/1/13,-0.101722071,-0.107695916,-0.113292153,-0.112066163,-0.047059038
5/1/13,-0.100940745,-0.098626737,-0.095866998,-0.104580076,-0.033417303
6/1/13,-0.100594837,-0.099049964,-0.096988895,-0.105562018,-0.019706413
7/1/13,-0.095165243,-0.110681953,-0.125552791,-0.116512362,-0.000200295
8/1/13,-0.05200784,-0.05496569,-0.057679021,-0.056904923,-0.004018751
9/1/13,-0.028475237,-0.033351601,-0.038044142,-0.03252165,0.000675714
10/1/13,-0.032564745,-0.049884667,-0.066882107,-0.053968067,0.011373913
11/1/13,-0.002770507,-0.007838658,-0.012739331,-0.008819811,0.024190371
12/1/13,0.019558926,-0.0101326,-0.039522878,-0.014613978,0.04441041
1/1/14,0.020236755,0.012082802,0.004150806,0.012521071,0.041190027
2/1/14,-0.004019017,-0.002504677,-0.00083251,-0.002827244,-0.000268861
3/1/14,0.000152007,-0.004255062,-0.008442149,-0.004312065,0.000663189
4/1/14,-0.058326322,-0.059901344,-0.061170207,-0.062479539,-0.013784538
5/1/14,-0.077318909,-0.091318792,-0.104828435,-0.097831424,-0.018249483
6/1/14,-0.116233419,-0.123703402,-0.130547578,-0.129444587,-0.023776712
7/1/14,-0.056995608,-0.072912943,-0.088550661,-0.083291173,0.033040308
8/1/14,-0.066029265,-0.073587887,-0.080746975,-0.075318898,-0.01177641
9/1/14,0.040030858,0.030320655,0.02062036,0.033913388,0.051593683
10/1/14,0.08341448,0.078881195,0.074223309,0.083861308,0.081723491
11/1/14,0.035377147,0.022560967,0.009907834,0.020849204,0.032083664
12/1/14,0.079193086,0.065060303,0.051014062,0.062047615,0.075056248
1/1/15,-0.033347932,-0.028595859,-0.023525011,-0.036853343,0.011564816
2/1/15,-0.036064416,-0.032346727,-0.028539924,-0.032971408,-0.029737702
3/1/15,-0.094375717,-0.079616752,-0.064478748,-0.085169205,-0.051420705
4/1/15,-0.15437439,-0.146048399,-0.137128462,-0.153315466,-0.076748731
5/1/15,-0.129734673,-0.133043034,-0.135848031,-0.135894198,-0.04106347
6/1/15,-0.109667909,-0.119313751,-0.128446863,-0.125543513,-0.028407058
7/1/15,-0.019743112,-0.039329082,-0.058628715,-0.042647891,0.038718643
8/1/15,-0.032254667,-0.048892536,-0.065373079,-0.049011052,0.010215839
9/1/15,0.020146144,0.003676066,-0.012559435,0.004280421,0.070208953
10/1/15,0.073809315,0.0581408,0.042636824,0.067294645,0.04987706
11/1/15,0.021425454,-0.007111055,-0.035338895,-0.012740458,0.023660637
12/1/15,0.063832677,0.047112189,0.030513976,0.040385128,0.091965285
1/1/16,0.09650905,0.098123302,0.099780483,0.098770358,0.070137711
2/1/16,-0.009554312,-0.003888247,0.001865661,-0.006957655,-0.005990259
3/1/16,-0.024358787,-0.019738276,-0.01493731,-0.019578333,-0.020336476
4/1/16,-0.10140407,-0.097046174,-0.092559418,-0.102440409,-0.059775303
5/1/16,-0.144551757,-0.14935276,-0.153699127,-0.158930262,-0.051249133
6/1/16,-0.107566824,-0.123232546,-0.138420639,-0.128840197,-0.053385678
7/1/16,-0.10077668,-0.114455414,-0.127523546,-0.12281952,-0.015515092
8/1/16,-0.063674124,-0.085534171,-0.106700897,-0.092838687,0.020554333
9/1/16,-0.063609766,-0.07305783,-0.082048631,-0.075582,0.000237414
10/1/16,0.0405819,0.061338915,0.082191024,0.071589692,0.013270095
11/1/16,0.079398013,0.071224894,0.063036349,0.072613881,0.03834428
12/1/16,-0.033304658,-0.051110091,-0.068629417,-0.063723278,0.015622319
1/1/17,0.05467988,0.045119351,0.035576697,0.044254449,0.054132044
2/1/17,0.057005461,0.040458903,0.023952187,0.038382803,0.035895221
3/1/17,-0.026196926,-0.023881754,-0.021488314,-0.02905087,-0.022664332
4/1/17,-0.06747967,-0.058565576,-0.049485595,-0.061691321,-0.051792935
5/1/17,-0.153252461,-0.159074945,-0.164338567,-0.168831243,-0.07540588
6/1/17,-0.125796001,-0.131927816,-0.137252583,-0.142654811,-0.030496819
7/1/17,-0.128359238,-0.138947125,-0.148794734,-0.145902888,-0.034825542
8/1/17,-0.063955674,-0.08667911,-0.108706271,-0.090287866,-8.22E-05
9/1/17,-0.051413318,-0.066369174,-0.080863815,-0.066666659,-0.015018936
10/1/17,-0.032579353,-0.04308553,-0.053343648,-0.043036155,-0.011610783
11/1/17,0.07389593,0.075211879,0.076400337,0.082353923,0.031327133
12/1/17,0.009454054,-0.010030177,-0.029278467,-0.016611193,0.009784891
1/1/18,0.064741893,0.064561758,0.064473391,0.065745721,0.038700855
2/1/18,-0.103591494,-0.120849647,-0.137703183,-0.131634112,-0.034031848
3/1/18,-0.021676548,-0.016307385,-0.010889743,-0.014638391,-0.009068791
4/1/18,-0.078316531,-0.077351739,-0.076056893,-0.079869489,-0.055212977
5/1/18,-0.159846636,-0.166876546,-0.173264149,-0.178055576,-0.072091567
6/1/18,-0.137698702,-0.143717779,-0.148951551,-0.150700922,-0.05454044
7/1/18,-0.09097968,-0.110562965,-0.129434542,-0.11908417,-0.000823326
8/1/18,-0.053851009,-0.081211849,-0.10804775,-0.090052874,0.019509112
9/1/18,-0.071810073,-0.086089886,-0.099868954,-0.093189815,-0.012480121
10/1/18,0.00302925,-0.000487697,-0.003840332,0.003789504,0.025417737
11/1/18,0.056153575,0.04671617,0.037293509,0.05221139,0.04798047
12/1/18,0.057777003,0.044858885,0.032168281,0.040419055,0.053973451
1/1/19,0.067888765,0.063907718,0.059951458,0.059577916,0.056667093
2/1/19,-0.000596382,-0.003656435,-0.006674576,-0.010007385,-0.002874879
3/1/19,-0.011140186,-0.006857994,-0.002534142,-0.008573347,-0.001869318
4/1/19,-0.055105031,-0.056002593,-0.056613724,-0.058772027,-0.036269584
5/1/19,-0.083057891,-0.075153297,-0.067060561,-0.07811042,-0.033002146
6/1/19,-0.072948747,-0.064770185,-0.056184899,-0.064042274,-0.007696582
7/1/19,-0.065852384,-0.06241377,-0.058415504,-0.064648838,-0.004717516
8/1/19,-0.041511168,-0.037396376,-0.03297098,-0.037184137,-0.000371005
9/1/19,0.02405374,0.0118098,-0.000215409,0.010486993,0.052231643
10/1/19,-0.009438068,-0.011554983,-0.013470594,-0.014396711,0.013305852
11/1/19,0.076220615,0.054967102,0.033884818,0.058498921,0.06992294
12/1/19,0.096739058,0.089987156,0.083140992,0.093859015,0.063880089
1/1/20,0.074962941,0.06471739,0.054440062,0.061086334,0.046273375
2/1/20,-0.027929156,-0.042088301,-0.055654208,-0.052229604,0.015252902
3/1/20,-0.034743693,-0.029634483,-0.024240475,-0.035099766,-0.009249802
4/1/20,-0.050005222,-0.052649018,-0.055037793,-0.052546207,-0.033458278
5/1/20,-0.059369698,-0.060495803,-0.061483497,-0.065596907,-0.025187765
6/1/20,-0.103503501,-0.093963362,-0.084045832,-0.097290485,-0.045160451
7/1/20,-0.074584233,-0.0706335,-0.06650157,-0.071446478,-0.006921356
8/1/20,-0.04422028,-0.043816266,-0.043096902,-0.045330888,0.012007018
9/1/20,0.016093983,0.020218982,0.024455746,0.026045289,0.034736103
10/1/20,-0.0125119,-0.010818082,-0.008929085,-0.005717667,-0.001817588
11/1/20,0.040984656,0.033489324,0.025986617,0.031795524,0.019180898
12/1/20,0.053727736,0.043944622,0.034135671,0.03989383,0.037842634
1/1/21,0.066485837,0.054079839,0.041587943,0.048818034,0.06452127
2/1/21,-0.033932324,-0.041656293,-0.049260501,-0.048178902,-0.011551112
3/1/21,-0.048635507,-0.043349405,-0.037935751,-0.046795646,-0.025597386
4/1/21,-0.0744868,-0.076545994,-0.078334413,-0.082262362,-0.022987963
5/1/21,-0.083301336,-0.088228885,-0.092730728,-0.098424395,-0.016292995
6/1/21,-0.051979382,-0.041134191,-0.029857103,-0.043682791,-0.012207994
7/1/21,-0.044814112,-0.047248328,-0.04927314,-0.043598787,0.015699052
8/1/21,-0.015859978,-0.018209337,-0.020290997,-0.020322076,0.012198192
9/1/21,-0.001006098,-0.000273587,0.000591549,-0.001587474,0.011831861
10/1/21,0.051734972,0.048451022,0.045130508,0.049364844,0.042943951
11/1/21,0.031764814,0.028392597,0.024977988,0.023090545,0.021266121
12/1/21,0.066203047,0.054384628,0.042516755,0.05258704,0.050995383
