"","xvar","yvar","corr"
"303","LSTlarv","DDlarv",0.404733685183073
"304","LSTlarv","DDpjuv",0.3011577940077
"305","LSTlarv","DDben",0.0435227504741426
"306","LSTlarv","Tcop",-0.0776989877775415
"307","LSTlarv","Tpart",0.358024487016852
"308","LSTlarv","MLDpart",0.511145914806733
"309","LSTlarv","MLDlarv",0.639594991415206
"310","LSTlarv","MLDpjuv",0.307002859890184
"311","LSTlarv","CSTlarv",-0.322489762603343
"312","LSTlarv","CSTpjuv",-0.00452400946706636
"313","LSTlarv","LSTlarv",1
"314","LSTlarv","LSTpjuv",-0.0413943606388241
"315","LSTlarv","HCIlarv",-0.257738743782598
"316","LSTlarv","HCIpjuv",-0.0481760215755434
"317","LSTlarv","ONIpre",0.293885701327329
"318","LSTlarv","ONIlarv",0.357856195355636
"319","LSTlarv","ONIpjuv",-0.198963040981574
"320","LSTlarv","PDOlarv",0.26002508886507
"321","LSTlarv","PDOpjuv",0.038931317658984
"322","LSTlarv","CutiSTI",0.365269065984264
"323","LSTlarv","CutiTUMI",-0.0749149484935235
"324","LSTlarv","BeutiTUMI",-0.212488728678171
"325","LSTlarv","BeutiSTI",0.381504201198017
"326","LSTpjuv","DDpre",0.123813038005827
"327","LSTpjuv","DDegg",-0.0434043227996142
"328","LSTpjuv","DDlarv",-0.0169952745562012
"329","LSTpjuv","DDpjuv",0.309634437463236
"330","LSTpjuv","DDben",0.360124090250951
"331","LSTpjuv","Tcop",0.476003539297305
"332","LSTpjuv","Tpart",0.0417949212386758
"333","LSTpjuv","MLDpart",-0.190749741498083
"334","LSTpjuv","MLDlarv",-0.231239528181801
"335","LSTpjuv","MLDpjuv",-0.476001230031641
"336","LSTpjuv","CSTlarv",-0.688301693596779
"337","LSTpjuv","CSTpjuv",-0.85823199640336
"338","LSTpjuv","LSTlarv",-0.0413943606388241
"339","LSTpjuv","LSTpjuv",1
"340","LSTpjuv","HCIlarv",0.00161495990027996
"341","LSTpjuv","HCIpjuv",-0.309760365483637
"342","LSTpjuv","ONIpre",0.107566887360963
"343","LSTpjuv","ONIlarv",0.109699294101451
"344","LSTpjuv","ONIpjuv",0.214862541280926
